CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,39,-,3,13.48,973.15,31.80,390,925.20,994.70,65,"24,150.00",845,490.85,542.85,325,-68.70,489.30,18.52,55,14,101,
,218,-1,270,13.04,923.55,-6.35,65,917.00,942.40,65,"24,200.00",65,529.05,534.55,65,41.45,530.75,19.09,321,-35,336,
,108,-20,60,12.53,871.75,6.05,65,853.75,930.20,65,"24,250.00",325,528.75,572.10,975,41.55,550.00,19.08,27,-9,90,
,245,12,318,13.00,858.10,-5.80,65,848.05,874.80,65,"24,300.00",65,564.45,570.00,65,46.70,568.50,19.04,355,-1,329,
,52,-9,59,14.87,902.30,58.65,65,807.85,864.80,325,"24,350.00",390,566.60,601.20,390,21.55,587.15,19.00,36,8,44,
,255,61,252,12.96,795.00,-7.40,65,789.05,814.95,65,"24,400.00",195,599.00,605.90,65,46.15,604.00,18.90,403,112,284,
,54,-8,32,13.68,795.00,33.00,650,746.85,795.10,"1,300","24,450.00",65,604.75,648.80,65,41.65,620.00,18.77,46,16,57,
,"7,153",676,"3,795",12.88,733.05,-3.70,130,731.00,739.80,65,"24,500.00",65,642.30,644.35,65,47.30,639.50,18.72,"4,702",976,"4,714",
,76,15,29,12.95,707.45,15.90,65,682.30,720.05,65,"24,550.00",390,642.90,690.15,390,-57.50,617.50,17.67,39,15,57,
,430,-37,279,12.94,679.50,-0.50,65,664.65,692.50,65,"24,600.00",65,674.05,691.65,65,28.25,665.25,18.26,235,-1,418,
,48,-17,27,13.65,682.40,29.35,390,627.40,673.85,65,"24,650.00",65,653.10,713.55,65,43.15,696.05,18.44,33,28,51,
,377,130,522,12.86,622.80,-6.45,65,620.25,626.70,65,"24,700.00",65,714.05,735.45,65,46.30,721.20,18.48,604,323,398,
,169,6,32,13.49,624.00,17.70,"1,040",572.05,631.40,325,"24,750.00",65,612.00,967.60,65,-222.10,692.35,17.23,48,42,54,
,698,246,999,12.81,570.00,-1.90,65,566.80,573.20,65,"24,800.00",65,745.90,786.75,65,81.50,767.50,18.42,457,309,410,
,205,-88,109,12.71,541.80,-1.40,65,524.75,558.65,65,"24,850.00",65,653.60,955.30,65,-89.35,790.60,18.37,9,-9,33,
,410,133,412,12.79,521.45,4.60,65,507.95,532.65,65,"24,900.00",325,793.10,839.75,65,18.00,820.00,18.46,321,266,295,
,107,-16,36,13.28,519.70,13.80,65,474.30,549.65,"1,820","24,950.00",65,699.05,"1,132.80","1,755",-64.00,815.55,17.74,2,1,11,
,"51,351",622,"8,093",12.70,472.60,-1.55,260,467.60,473.80,65,"25,000.00",65,853.05,865.00,975,51.95,865.00,18.28,"2,655",371,"54,569",
,146,-22,55,12.60,447.10,-0.90,65,422.30,484.80,65,"25,050.00",65,659.65,"1,272.45","1,755",-,868.35,-,-,-,7,
,230,-16,118,12.75,432.70,-,65,413.50,440.55,65,"25,100.00",65,857.35,946.80,65,50.00,918.00,18.24,89,16,76,
,57,-3,11,12.76,412.90,7.40,65,378.70,441.90,65,"25,150.00",-,-,"1,248.70",65,-50.60,870.95,16.48,14,8,9,
,262,18,188,12.55,385.00,-3.20,65,372.25,393.15,65,"25,200.00","1,755",745.80,"1,289.00","1,755",-154.55,918.00,16.91,26,16,33,
,64,-19,24,12.86,379.15,44.40,325,345.05,399.15,520,"25,250.00",-,-,"1,415.10",65,-,972.00,-,-,-,1,
,293,25,263,12.52,347.00,0.60,65,339.20,350.80,65,"25,300.00",715,798.05,"1,354.75","1,755",23.00,996.00,17.36,16,8,45,
,69,-6,26,12.96,347.55,15.25,910,253.15,337.35,65,"25,350.00",65,563.05,"1,508.95",65,-,"1,034.05",-,-,-,1,
,221,13,211,12.45,310.00,5.40,65,245.70,335.95,65,"25,400.00","1,690",674.45,"1,370.65",325,-64.00,"1,016.00",16.38,6,1,41,
,68,-8,32,12.42,292.95,-2.50,65,283.60,300.20,65,"25,450.00",-,-,"1,504.75","1,105",-,"1,096.45",-,-,-,1,
,"13,859",134,"4,521",12.37,275.55,1.50,65,272.45,276.35,65,"25,500.00",65,"1,138.65","1,170.60",65,49.20,"1,148.80",18.08,623,245,"10,065",
,274,-24,93,12.43,263.00,4.20,650,35.15,268.35,65,"25,550.00",65,830.25,"1,631.10","1,690",-,"1,276.50",20.25,-,-,1,
,242,14,259,12.33,245.25,-1.85,65,231.65,253.45,65,"25,600.00",390,894.45,"1,666.65","1,690","-1,709.40","1,171.20",17.05,29,12,12,
,89,-10,74,12.28,230.00,4.40,910,30.15,248.00,65,"25,650.00",65,992.85,"1,610.75",65,"-1,761.75","1,164.45",16.05,1,1,1,
,257,12,365,12.31,217.90,2.40,65,213.05,222.55,65,"25,700.00","1,690",918.75,"1,427.30",65,-,-,-,-,-,-,
,119,-32,73,12.26,204.00,3.00,910,25.55,217.35,65,"25,750.00",975,950.50,"1,776.10",65,-,-,-,-,-,-,
,460,6,501,12.21,190.50,3.40,65,187.70,196.30,65,"25,800.00",585,"1,101.90","1,486.40",65,-,-,-,-,-,-,
